Std_SMILES,Orig_SMILES,IDs,Count
CCOC(=O)C(Cc1ccc(OC)cc1)=NC=O,CCOC(=O)C(=Cc1ccc(OC)cc1)NC=O | CCOC(=O)/C(=C\c1ccc(OC)cc1)N=CO,6995a406e7480c69207d1633 | 6995a49fe7480c69207d21a4,2
CCOC(=O)C(Cc1ccc([N+](=O)[O-])cc1)=NC=O,CCOC(=O)C(=Cc1ccc([N+](=O)[O-])cc1)NC=O | CCOC(=O)/C(=C\c1ccc([N+](=O)[O-])cc1)N=CO,6995a406e7480c69207d1634 | 6995a4a0e7480c69207d230f,2
CCOC(=O)C(Cc1ccc2c(c1)OCO2)=NC=O,CCOC(=O)C(=Cc1ccc2c(c1)OCO2)NC=O | CCOC(=O)/C(=C/c1ccc2c(c1)OCO2)N=CO,6995a406e7480c69207d1631 | 6995a49fe7480c69207d21a3,2
CCOC(=O)C(Cc1cccc(Cl)c1)=NC=O,CCOC(=O)C(=Cc1cccc(Cl)c1)NC=O | CCOC(=O)/C(=C\c1cccc(Cl)c1)N=CO,6995a406e7480c69207d1637 | 6995a49fe7480c69207d21a6,2
CCOC(=O)C(Cc1cccc([N+](=O)[O-])c1)=NC=O,CCOC(=O)C(=Cc1cccc([N+](=O)[O-])c1)NC=O | CCOC(=O)/C(=C\c1cccc([N+](=O)[O-])c1)N=CO,6995a406e7480c69207d1635 | 6995a49fe7480c69207d21a9,2
CCOC(=O)C(Cc1ccccc1)=NC=O,CCOC(=O)C(=Cc1ccccc1)NC=O | CCOC(=O)/C(=C/c1ccccc1)N=CO,6995a406e7480c69207d16e5 | 6995a49fe7480c69207d222d,2
CCOC(=O)C(Cc1ccccc1Cl)=NC=O,CCOC(=O)C(=Cc1ccccc1Cl)NC=O | CCOC(=O)/C(=C\c1ccccc1Cl)N=CO,6995a406e7480c69207d163a | 6995a49fe7480c69207d21a7,2
CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O,CCON=C(CC)C1=C(O)CC(c2c(C)cc(C)cc2C)CC1=O | CCONC(CC)=C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O,68e7b3e0149be731d2e921bf | 6995a405e7480c69207d1559,2
CCOc1cc(C=NNC(N)=O)ccc1O,CCOc1cc(C=NNC(N)=O)ccc1O | CCOC1=CC(=CNNC(N)=O)C=CC1=O,6995a406e7480c69207d16db | 6995a49fe7480c69207d2231,2
CCOc1ccccc1/C=C\C(=O)O,CCOc1ccccc1/C=C\C(=O)O,68e7b32f149be731d2e7a74f | 6995a49de7480c69207d2096,2
CN1C(C(=O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O | CN1/C(=C(/O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,68e7b32f149be731d2e7a7f6 | 6995a2a3e7480c69207d0a4f,2
CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1 | CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,68e7b32a149be731d2e79e49 | 6995a49be7480c69207d1f6a,2
CNC(=O)O/N=C(/C)SC,CNC(=O)O/N=C(/C)SC,68e7b32f149be731d2e7a81c | 6995a49ce7480c69207d1fb7,2
CN[C@@H](CC(C)C)C(=O)O,CN[C@@H](CC(C)C)C(=O)O,68e7b32f149be731d2e7a848 | 6995a499e7480c69207d1de9,2
CN[C@@H](Cc1ccc(O)cc1)C(=O)O,CN[C@@H](Cc1ccc(O)cc1)C(=O)O,68e7b32f149be731d2e7a849 | 6995a498e7480c69207d1d89,2
COC1/C=C\OC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CC[NH+](C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C/C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,COC1/C=C\OC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CC[NH+](C)CC2)C(=C4O)NC(=O)/C(C)=C\C=C/C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C | COC1/C=C\OC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CC[NH+](C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C/C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,6995a405e7480c69207d15de | 6995a407e7480c69207d17cf,2
COP(=O)(OC)O/C(=C\Cl)c1ccc(Cl)cc1Cl,COP(=O)(OC)O/C(=C\Cl)c1ccc(Cl)cc1Cl,68e7b32f149be731d2e7a8ec | 6995a496e7480c69207d1cc5,2
COc1cc(C=NNC(N)=O)ccc1O,COc1cc(C=NNC(N)=O)ccc1O | COC1=CC(=CNNC(N)=O)C=CC1=O,6995a406e7480c69207d16da | 6995a49fe7480c69207d222f,2
COc1ccc(/C=C/C(=O)O)cc1,COc1ccc(/C=C/C(=O)O)cc1,68e7b330149be731d2e7a943 | 6995a49ee7480c69207d20fb,2
C[C@@H](Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)C(=O)O,C[C@@H](Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)C(=O)O,68e7b330149be731d2e7a9dd | 6995a49fe7480c69207d22a1,2
